takeoff_name,telegram_group_name,telegram_group_link,site_guide,geometry
Balladen,Pennines & Dales,https://t.me/joinchat/NcCY7NcPJ3lkMTZk,http://www.penninesoaringclub.org.uk/sites/balladen/,"c(-2.27285, 53.68761)"
Ballard Down,West,https://t.me/joinchat/xxEzm4aeX6dhNTJk,http://www.wessexhgpg.org.uk/Sites/Siteguide/FullSiteGuide.pdf,"c(-1.94635, 50.63087)"
Balquhidder,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,NA,"c(-4.34925, 56.36606)"
Balquhider,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,NA,"c(-4.42514, 56.358235)"
Bank Hill,Borders,https://t.me/joinchat/gQNkjnuA51IwOTg0,NA,"c(-3.686185, 56.17283)"
Barf,Lakes,https://t.me/joinchat/nexjPNs95rY4Yzk8,NA,"c(-3.2179, 54.62967)"
Barkin,Pennines & Dales,https://t.me/joinchat/NcCY7NcPJ3lkMTZk,http://www.cumbriasoaringclub.co.uk/SiteManagement/CSC_Specific_Site.php?site=BKF,"c(-2.498085, 54.276305)"
Barton Fell,Lakes,https://t.me/joinchat/nexjPNs95rY4Yzk8,http://www.cumbriasoaringclub.co.uk/SiteManagement/CSC_Specific_Site.php?site=BRF,"c(-2.82593, 54.58517)"
Barton On Sea,West,https://t.me/joinchat/xxEzm4aeX6dhNTJk,http://www.wessexhgpg.org.uk/Sites/Siteguide/FullSiteGuide.pdf,"c(-1.65853, 50.73524)"
Batcombe,West,https://t.me/joinchat/xxEzm4aeX6dhNTJk,NA,"c(-2.51013, 50.84403)"
Beardown,South West,https://t.me/joinchat/yg6UPwjHlFNhOGVk,NA,"c(-3.96795, 50.57238)"
Beeftub,Borders,https://t.me/joinchat/gQNkjnuA51IwOTg0,NA,"c(-3.49012, 55.40067)"
Beer Head,South West,https://t.me/joinchat/yg6UPwjHlFNhOGVk,NA,"c(-3.10112, 50.68713)"
Beinn A'chait,Highlands,https://t.me/joinchat/gx0JDL-JdONiMGZk,NA,"c(-3.862515, 56.84425)"
Beinn A Chaorainn,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,NA,"c(-4.65657, 56.918)"
Beinn A Muice,Highlands,https://t.me/joinchat/gx0JDL-JdONiMGZk,NA,"c(-4.951625, 57.41789)"
Beinn Dorain,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,NA,"c(-4.72987, 56.51697)"
Beinn Eighe,Highlands,https://t.me/joinchat/gx0JDL-JdONiMGZk,NA,"c(-5.38462, 57.58387)"
Beinn Leabhainn,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,NA,"c(-4.32405, 56.42644)"
Beinn Lutharn Bheag,Highlands,https://t.me/joinchat/gx0JDL-JdONiMGZk,NA,"c(-3.53437, 56.89547)"
Beinn Na Feusaige,Highlands,https://t.me/joinchat/gx0JDL-JdONiMGZk,NA,"c(-5.18294, 57.53746)"
Beinn Narnain,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,NA,"c(-4.78079, 56.218045)"
Bell Hill,West,https://t.me/joinchat/xxEzm4aeX6dhNTJk,http://www.wessexhgpg.org.uk/Sites/SiteGuide/BellHill.pdf,"c(-2.28855, 50.8761)"
Belstone,South West,https://t.me/joinchat/yg6UPwjHlFNhOGVk,https://sdhgpc.org.uk/sites/belstone,"c(-3.96592, 50.69908)"
Ben Gulabin,Highlands,https://t.me/joinchat/gx0JDL-JdONiMGZk,NA,"c(-3.4723, 56.8306)"
Ben Hiel,Highlands,https://t.me/joinchat/gx0JDL-JdONiMGZk,NA,"c(-4.398025, 58.416055)"
Ben Lawers,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,NA,"c(-4.24297, 56.5277)"
Ben Ledi,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,NA,"c(-4.30922, 56.25059)"
Ben Luibhean,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,NA,"c(-4.84298, 56.22953)"
Ben More,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,NA,"c(-4.542525, 56.385595)"
Ben Nevis,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,NA,"c(-5.00398, 56.79638)"
Ben Reid,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,NA,"c(-3.118025, 56.860225)"
Ben Rinnes,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,NA,"c(-3.239035, 57.403135)"
Ben Tirran,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,NA,"c(-3.03435, 56.84645)"
Ben Toaig,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,NA,"c(-4.83574, 56.559805)"
Ben Uarie,Highlands,https://t.me/joinchat/gx0JDL-JdONiMGZk,NA,"c(-3.81967, 58.12663)"
Ben Vorlich,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,NA,"c(-4.245115, 56.366585)"
Ben Wyvis,Highlands,https://t.me/joinchat/gx0JDL-JdONiMGZk,NA,"c(-4.55451, 57.682625)"
Bewaldeth,Lakes,https://t.me/joinchat/nexjPNs95rY4Yzk8,http://www.cumbriasoaringclub.co.uk/SiteManagement/CSC_Specific_Site.php?site=BWD,"c(-3.22439, 54.714535)"
Bin Of Cullen,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,NA,"c(-2.87393, 57.66573)"
Birks Hill,Borders,https://t.me/joinchat/gQNkjnuA51IwOTg0,NA,"c(-3.13455, 55.58999)"
Bishop,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,NA,"c(-3.31957, 56.21678)"
Black Combe,Lakes,https://t.me/joinchat/nexjPNs95rY4Yzk8,http://www.cumbriasoaringclub.co.uk/SiteManagement/CSC_Specific_Site.php?site=BCE,"c(-3.35297, 54.26295)"
Black Combe East,Lakes,https://t.me/joinchat/nexjPNs95rY4Yzk8,NA,"c(-3.317135, 54.253165)"
Black Craig,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,NA,"c(-4.35264, 55.22767)"
Black Hill,South Wales,https://t.me/joinchat/ksosguoLjyI0ZGFk,NA,"c(-3.05463, 52.00213)"
Black Mount,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,NA,"c(-4.73331, 56.586475)"
Blackers Hole,West,https://t.me/joinchat/xxEzm4aeX6dhNTJk,NA,"c(-1.9853, 50.59345)"
Blackmount,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,NA,"c(-4.76467, 56.58578)"
Blaenavon (Gb),South Wales,https://t.me/joinchat/ksosguoLjyI0ZGFk,NA,"c(-3.13877, 51.78122)"
Blease Fell,Lakes,https://t.me/joinchat/nexjPNs95rY4Yzk8,http://www.cumbriasoaringclub.co.uk/SiteManagement/CSC_Specific_Site.php?site=BLF,"c(-3.07365, 54.62548)"
Blencathra,Lakes,https://t.me/joinchat/nexjPNs95rY4Yzk8,NA,"c(-3.05068, 54.6401)"
Blorenge,South Wales,https://t.me/joinchat/ksosguoLjyI0ZGFk,NA,"c(-3.0512, 51.80443)"
Bo Peep,South East,https://t.me/joinchat/GOaWSlE5YAswZjc0,https://shgc.org.uk/siteguidepdf,"c(0.1285, 50.82066)"
Bodesbeck Law,Borders,https://t.me/joinchat/gQNkjnuA51IwOTg0,http://www.wingbeat-paragliding.co.uk/index.php/sites/bodesbeck,"c(-3.314925, 55.37974)"
Bow Scale Tarn,Lakes,https://t.me/joinchat/nexjPNs95rY4Yzk8,NA,"c(-3.0308, 54.67045)"
Bowfell,Lakes,https://t.me/joinchat/nexjPNs95rY4Yzk8,NA,"c(-3.1781, 54.4572)"
Bradwell,Central,https://t.me/joinchat/5iHr6hnc-gI4MDg0,https://derbyshiresoaringclub.org.uk/site-guide/bradwell,"c(-1.73005, 53.321)"
Braemore Junction,Highlands,https://t.me/joinchat/gx0JDL-JdONiMGZk,NA,"c(-4.99636, 57.76404)"
Brant Side,Pennines & Dales,https://t.me/joinchat/NcCY7NcPJ3lkMTZk,NA,"c(-2.3437, 54.2758)"
Bratton,West,https://t.me/joinchat/xxEzm4aeX6dhNTJk,NA,"c(-2.14507, 51.26413)"
Bridlington,North East,https://t.me/joinchat/1uCqybLRETIyNTRk,https://cayleyparagliding.co.uk/paragliding-bridlington/,"c(-0.17363, 54.0955)"
Brighstone,Isle of Wight,https://t.me/joinchat/tSmGEGKwsGpkMTg0,https://flywight.extremelynice.net/wp/wp-content/uploads/2017/03/iowhgpc-sites-guide_2019_03.pdf,"c(-1.38317, 50.65169)"
Brigsteer,Pennines & Dales,https://t.me/joinchat/NcCY7NcPJ3lkMTZk,http://www.cumbriasoaringclub.co.uk/SiteManagement/CSC_Specific_Site.php?site=BRG,"c(-2.79064, 54.29617)"
Broadlee Bank,Central,https://t.me/joinchat/5iHr6hnc-gI4MDg0,https://derbyshiresoaringclub.org.uk/site-guide/broadlee-bank/,"c(-1.83582, 53.37)"
Broughton Heights,Borders,https://t.me/joinchat/gQNkjnuA51IwOTg0,NA,"c(-3.40388, 55.66144)"
Brownber Hill,Lakes,https://t.me/joinchat/nexjPNs95rY4Yzk8,NA,"c(-2.45711, 54.648575)"
Bruthac Nan Uamh,Highlands,https://t.me/joinchat/gx0JDL-JdONiMGZk,NA,"c(-4.99246, 57.1652)"
Bryn Banog,North Wales,https://t.me/joinchat/tP6m0r9gNJJmOTM8,NA,"c(-4.12414, 52.98795)"
Bryncaws,South Wales,https://t.me/joinchat/ksosguoLjyI0ZGFk,NA,"c(-3.78954, 51.71236)"
Buck Of Cabrach,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,NA,"c(-2.97968, 57.29813)"
Bunster,Central,https://t.me/joinchat/5iHr6hnc-gI4MDg0,https://www.paraguide.uk/guides/Bunster.pdf,"c(-1.791695, 53.06035)"
Burger Van,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,NA,"c(-4.324195, 56.430315)"
Burn Fell,Pennines & Dales,https://t.me/joinchat/NcCY7NcPJ3lkMTZk,NA,"c(-2.49325, 53.97338)"
Burnbank,Lakes,https://t.me/joinchat/nexjPNs95rY4Yzk8,http://www.cumbriasoaringclub.co.uk/SiteManagement/CSC_Specific_Site.php?site=BNB,"c(-3.37201, 54.57997)"
Burney,Lakes,https://t.me/joinchat/nexjPNs95rY4Yzk8,http://www.cumbriasoaringclub.co.uk/SiteManagement/CSC_Specific_Site.php?site=BNF,"c(-3.13794, 54.26124)"
Butser West,South East,https://t.me/joinchat/GOaWSlE5YAswZjc0,http://skysurfingclub.co.uk/sites-guide/,"c(-0.98785, 50.97682)"
Buttermere Moss,Lakes,https://t.me/joinchat/nexjPNs95rY4Yzk8,http://www.cumbriasoaringclub.co.uk/SiteManagement/CSC_Specific_Site.php?site=BTM,"c(-3.257675, 54.542225)"
Cacra,Borders,https://t.me/joinchat/gQNkjnuA51IwOTg0,http://www.wingbeat-paragliding.co.uk/index.php/sites/cacra-bank,"c(-3.07375, 55.4435)"
Cairn An Righ,Highlands,https://t.me/joinchat/gx0JDL-JdONiMGZk,NA,"c(-3.610235, 56.87479)"
Cairn O Mount,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,NA,"c(-2.575745, 56.914)"
Cairn Vaich,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,NA,"c(-3.266205, 57.179775)"
Cairngorm,Highlands,https://t.me/joinchat/gx0JDL-JdONiMGZk,NA,"c(-3.64523, 57.11905)"
Cairnwell,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,NA,"c(-3.42092, 56.87667)"
Camlo,Mid Wales & Mynd,https://t.me/joinchat/RuC0kVJ1ygY2OTY8,NA,"c(-3.42097, 52.32208)"
Campsie Fells,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,NA,"c(-4.218045, 55.992965)"
Captain Cooks,North East,https://t.me/joinchat/1uCqybLRETIyNTRk,NA,"c(-1.09143, 54.48282)"
Cardon Hill,Borders,https://t.me/joinchat/gQNkjnuA51IwOTg0,NA,"c(-3.48178, 55.57002)"
Carlton Bank,North East,https://t.me/joinchat/1uCqybLRETIyNTRk,NA,"c(-1.20225, 54.4155)"
Carn Ban,Highlands,https://t.me/joinchat/gx0JDL-JdONiMGZk,NA,"c(-4.78808, 57.42762)"
Carn Brea,South West,https://t.me/joinchat/yg6UPwjHlFNhOGVk,NA,"c(-5.2496, 50.221315)"
Carn Dubh,Highlands,https://t.me/joinchat/gx0JDL-JdONiMGZk,NA,"c(-4.44227, 57.00037)"
Carn Ghluasaid,Highlands,https://t.me/joinchat/gx0JDL-JdONiMGZk,NA,"c(-5.075125, 57.15604)"
Carn Liath,Highlands,https://t.me/joinchat/gx0JDL-JdONiMGZk,NA,"c(-3.74793, 56.80353)"
Carn Moine,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,NA,"c(-3.27857, 57.0533)"
Carn Na Caim,Highlands,https://t.me/joinchat/gx0JDL-JdONiMGZk,NA,"c(-4.183075, 56.9202)"
Carn Nam Feuaich,Highlands,https://t.me/joinchat/gx0JDL-JdONiMGZk,NA,"c(-5.017715, 57.166375)"
Carrock Fell,Lakes,https://t.me/joinchat/nexjPNs95rY4Yzk8,http://www.cumbriasoaringclub.co.uk/SiteManagement/CSC_Specific_Site.php?site=CRF,"c(-3.015975, 54.69762)"
Catacol,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,NA,"c(-5.31787, 55.69668)"
Catbells,Lakes,https://t.me/joinchat/nexjPNs95rY4Yzk8,NA,"c(-3.16953, 54.57328)"
Cats Tor,Central,https://t.me/joinchat/5iHr6hnc-gI4MDg0,https://derbyshiresoaringclub.org.uk/site-guide/cats-tor/,"c(-2.00997, 53.28013)"
Cautley,Pennines & Dales,https://t.me/joinchat/NcCY7NcPJ3lkMTZk,NA,"c(-2.481585, 54.37131)"
Chalton,South East,https://t.me/joinchat/GOaWSlE5YAswZjc0,NA,"c(-0.954245, 50.929515)"
Charmouth,South West,https://t.me/joinchat/yg6UPwjHlFNhOGVk,NA,"c(-2.89324, 50.733045)"
Cherhill,West,https://t.me/joinchat/xxEzm4aeX6dhNTJk,NA,"c(-1.93176, 51.42457)"
Chillerton,Isle of Wight,https://t.me/joinchat/tSmGEGKwsGpkMTg0,https://flywight.extremelynice.net/wp/wp-content/uploads/2017/03/iowhgpc-sites-guide_2019_03.pdf,"c(-1.32695, 50.647735)"
Chinkwell Tor,South West,https://t.me/joinchat/yg6UPwjHlFNhOGVk,https://sdhgpc.org.uk/sites/chinkwell,"c(-3.797265, 50.588645)"
Chinnor,South East,https://t.me/joinchat/GOaWSlE5YAswZjc0,https://dunstablehpc.com/site-guides/chinnor-site-guide/,"c(-0.89113, 51.69957)"
Choinneachain Hill,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,NA,"c(-3.91312, 56.42272)"
Clatter,Mid Wales & Mynd,https://t.me/joinchat/RuC0kVJ1ygY2OTY8,NA,"c(-3.469925, 52.557375)"
Clough Head,Lakes,https://t.me/joinchat/nexjPNs95rY4Yzk8,http://www.cumbriasoaringclub.co.uk/SiteManagement/CSC_Specific_Site.php?site=CLH,"c(-3.04325, 54.5974)"
Cock Up,Lakes,https://t.me/joinchat/nexjPNs95rY4Yzk8,NA,"c(-3.15, 54.673275)"
Cocking Tor,Central,https://t.me/joinchat/5iHr6hnc-gI4MDg0,https://derbyshiresoaringclub.org.uk/site-guide/cocking-tor/,"c(-1.48246, 53.1431)"
Codden Hill,South West,https://t.me/joinchat/yg6UPwjHlFNhOGVk,https://ndhpc.co.uk/sites_guide/codden_hill_guide,"c(-4.02324, 51.04903)"
Cogden,South West,https://t.me/joinchat/yg6UPwjHlFNhOGVk,NA,"c(-2.717035, 50.694735)"
Coiliochbhar,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,NA,"c(-2.81837, 57.23063)"
Coire Nan Cisteachan,Highlands,https://t.me/joinchat/gx0JDL-JdONiMGZk,NA,"c(-4.20522, 56.89856)"
Combe Gibbet,West,https://t.me/joinchat/xxEzm4aeX6dhNTJk,https://www.tvhgc.co.uk/combe-gibbet,"c(-1.480475, 51.35858)"
Compton Reds,Isle of Wight,https://t.me/joinchat/tSmGEGKwsGpkMTg0,https://flywight.extremelynice.net/wp/wp-content/uploads/2017/03/iowhgpc-sites-guide_2019_03.pdf,"c(-1.473465, 50.662695)"
Coniston Old Man,Lakes,https://t.me/joinchat/nexjPNs95rY4Yzk8,http://www.cumbriasoaringclub.co.uk/SiteManagement/CSC_Specific_Site.php?site=COM,"c(-3.11632, 54.36845)"
Coombe,West,https://t.me/joinchat/xxEzm4aeX6dhNTJk,NA,"c(-1.47922, 51.35865)"
Corn Ridge,South West,https://t.me/joinchat/yg6UPwjHlFNhOGVk,https://sdhgpc.org.uk/sites/corn-ridge,"c(-4.04919, 50.68646)"
Corndon,Mid Wales & Mynd,https://t.me/joinchat/RuC0kVJ1ygY2OTY8,http://www.longmynd.org/?page_id=272,"c(-3.02, 52.56568)"
Corney Fell,Lakes,https://t.me/joinchat/nexjPNs95rY4Yzk8,http://www.cumbriasoaringclub.co.uk/SiteManagement/CSC_Specific_Site.php?site=CNF,"c(-3.32382, 54.32188)"
Corton Denham,West,https://t.me/joinchat/xxEzm4aeX6dhNTJk,http://www.wessexhgpg.org.uk/Sites/Siteguide/FullSiteGuide.pdf,"c(-2.524, 51.007525)"
Cotterside,Pennines & Dales,https://t.me/joinchat/NcCY7NcPJ3lkMTZk,NA,"c(-2.29659, 54.3376)"
Cow Close Fell,Pennines & Dales,https://t.me/joinchat/NcCY7NcPJ3lkMTZk,https://www.dhpc.org.uk/site-guide/cow-close-fell,"c(-2.17244, 54.15457)"
Cowden,North East,https://t.me/joinchat/1uCqybLRETIyNTRk,NA,"c(-0.12186, 53.863075)"
Cowdown,South West,https://t.me/joinchat/yg6UPwjHlFNhOGVk,http://www.wessexhgpg.org.uk/Sites/Siteguide/FullSiteGuide.pdf,"c(-2.51357, 50.797005)"
Cowlod,Mid Wales & Mynd,https://t.me/joinchat/RuC0kVJ1ygY2OTY8,https://paraglidingwales.co.uk/cowlod/,"c(-3.23585, 52.26499)"
Crag Hill,Lakes,https://t.me/joinchat/nexjPNs95rY4Yzk8,NA,"c(-3.24955, 54.571785)"
Cragdale Moor,Pennines & Dales,https://t.me/joinchat/NcCY7NcPJ3lkMTZk,NA,"c(-2.149665, 54.24274)"
Craig Hulich,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,NA,"c(-3.799075, 56.518175)"
Craigellachie,Highlands,https://t.me/joinchat/gx0JDL-JdONiMGZk,NA,"c(-3.85102, 57.189015)"
Craiglich,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,NA,"c(-2.77367, 57.136735)"
Creag An Earbaill,Highlands,https://t.me/joinchat/gx0JDL-JdONiMGZk,NA,"c(-5.55068, 57.29197)"
Creag Dhubh,Highlands,https://t.me/joinchat/gx0JDL-JdONiMGZk,NA,"c(-4.10193, 57.10048)"
Creag Ghleannain,Highlands,https://t.me/joinchat/gx0JDL-JdONiMGZk,NA,"c(-3.889825, 57.17835)"
Creag Meagaidh,Highlands,https://t.me/joinchat/gx0JDL-JdONiMGZk,NA,"c(-4.533125, 56.95488)"
Creag Meageaidh,Highlands,https://t.me/joinchat/gx0JDL-JdONiMGZk,NA,"c(-4.51507, 56.9712)"
Creag Mhigeachaidh,Highlands,https://t.me/joinchat/gx0JDL-JdONiMGZk,NA,"c(-3.865565, 57.099135)"
Creag Na Caillich,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,NA,"c(-4.346695, 56.494375)"
Creag Nan Gabhar,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,NA,"c(-3.40203, 56.93675)"
Creag Ruadh,Highlands,https://t.me/joinchat/gx0JDL-JdONiMGZk,NA,"c(-4.86833, 57.5474)"
Creagan Gorm,Highlands,https://t.me/joinchat/gx0JDL-JdONiMGZk,NA,"c(-3.695015, 57.187535)"
Cringle,North East,https://t.me/joinchat/1uCqybLRETIyNTRk,NA,"c(-1.17202, 54.42112)"
Cross Fell,Borders,https://t.me/joinchat/gQNkjnuA51IwOTg0,NA,"c(-2.52788, 54.70137)"
Curbar,Central,https://t.me/joinchat/5iHr6hnc-gI4MDg0,https://derbyshiresoaringclub.org.uk/site-guide/curbar/,"c(-1.61147, 53.2694)"
Cwmafan,South Wales,https://t.me/joinchat/ksosguoLjyI0ZGFk,NA,"c(-3.76633, 51.62673)"
Cwmbran,South Wales,https://t.me/joinchat/ksosguoLjyI0ZGFk,NA,"c(-3.05492, 51.67538)"
Cyrniau,North Wales,https://t.me/joinchat/tP6m0r9gNJJmOTM8,NA,"c(-3.40228, 52.81572)"
Dale Head,Lakes,https://t.me/joinchat/nexjPNs95rY4Yzk8,https://derbyshiresoaringclub.org.uk/site-guide/dale-head/,"c(-3.20282, 54.52678)"
Dalefoot,Pennines & Dales,https://t.me/joinchat/NcCY7NcPJ3lkMTZk,NA,"c(-2.33715, 54.43709)"
Dalwhinnie,Highlands,https://t.me/joinchat/gx0JDL-JdONiMGZk,NA,"c(-4.20859, 56.8977)"
Devils Dyke,South East,https://t.me/joinchat/GOaWSlE5YAswZjc0,https://shgc.org.uk/siteguidepdf,"c(-0.21312, 50.88575)"
Devonshaw Hill,Borders,https://t.me/joinchat/gQNkjnuA51IwOTg0,NA,"c(-3.649395, 55.541055)"
Didling Hill,South East,https://t.me/joinchat/GOaWSlE5YAswZjc0,NA,"c(-0.821375, 50.953315)"
Ditchling,South East,https://t.me/joinchat/GOaWSlE5YAswZjc0,https://shgc.org.uk/siteguidepdf,"c(-0.103435, 50.901035)"
Dodd Fell,Pennines & Dales,https://t.me/joinchat/NcCY7NcPJ3lkMTZk,https://www.dhpc.org.uk/site-guide/dodd-fell-grove-head,"c(-2.26377, 54.24897)"
Dollar,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,NA,"c(-3.68507, 56.17331)"
Drumochter,Highlands,https://t.me/joinchat/gx0JDL-JdONiMGZk,NA,"c(-4.21493, 56.8679)"
Dumyat,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,NA,"c(-3.88057, 56.1543)"
Dungavel,Borders,https://t.me/joinchat/gQNkjnuA51IwOTg0,NA,"c(-3.68532, 55.55825)"
Dunstable,South East,https://t.me/joinchat/GOaWSlE5YAswZjc0,https://dunstablehpc.com/site-guides/dunstable-downs-site-guide/,"c(-0.53799, 51.869975)"
East Hill,North Wales,https://t.me/joinchat/tP6m0r9gNJJmOTM8,NA,"c(-2.603665, 53.081195)"
East Lomond,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,NA,"c(-3.221405, 56.2422)"
Ebbw Vale,South Wales,https://t.me/joinchat/ksosguoLjyI0ZGFk,NA,"c(-3.20664, 51.7524)"
Ecton,Central,https://t.me/joinchat/5iHr6hnc-gI4MDg0,NA,"c(-1.8514, 53.11943)"
Edenfield,Pennines & Dales,https://t.me/joinchat/NcCY7NcPJ3lkMTZk,http://www.penninesoaringclub.org.uk/sites/edenfield/,"c(-2.27196, 53.65658)"
Edge Top,Central,https://t.me/joinchat/5iHr6hnc-gI4MDg0,NA,"c(-1.9191, 53.18847)"
Elan Valley,Mid Wales & Mynd,https://t.me/joinchat/RuC0kVJ1ygY2OTY8,NA,"c(-3.60265, 52.33142)"
Elidir Fach,North Wales,https://t.me/joinchat/tP6m0r9gNJJmOTM8,https://www.snowdoniaskysports.co.uk/cms/node/8,"c(-4.09171, 53.13093)"
Ellerside,Lakes,https://t.me/joinchat/nexjPNs95rY4Yzk8,http://www.cumbriasoaringclub.co.uk/SiteManagement/CSC_Specific_Site.php?site=ELS,"c(-2.99003, 54.21653)"
Ennerdale,Lakes,https://t.me/joinchat/nexjPNs95rY4Yzk8,NA,"c(-3.3957, 54.52008)"
Eyam,Central,https://t.me/joinchat/5iHr6hnc-gI4MDg0,https://derbyshiresoaringclub.org.uk/site-guide/eyam-edge,"c(-1.69618, 53.29617)"
Eype,South West,https://t.me/joinchat/yg6UPwjHlFNhOGVk,NA,"c(-2.77895, 50.71583)"
Fairsnape,Pennines & Dales,https://t.me/joinchat/NcCY7NcPJ3lkMTZk,http://www.penninesoaringclub.org.uk/sites/parlick/,"c(-2.617225, 53.91135)"
Fan Brycheiniog,South Wales,https://t.me/joinchat/ksosguoLjyI0ZGFk,NA,"c(-3.70435, 51.87991)"
